id,question,options,correctAnswer,explanation
307,我国航空人员的执照由哪个部门颁发 {{c1::B}},国际民航组织||民航局下属司（局）||地区管理局,2,"第61.3条　适用范围
(a)本规则适用于中国民用航空局（ 以下简称民航局） 和民用航空地区管理局（ 以下简称地区管理局） 及地区管理局派出机构（ 上述所有机构以下统称局方） 对民用航空器驾驶员和地面教员执照的颁发与管理。"
308,局方对飞行执照持有人的年龄有没有限制？ {{c1::A}},有，有最低年龄限制，没有最高年龄限制||有，最低年龄为16岁，最高年龄为60岁||没有,1,根据CCAR-61部规定，私用驾驶员执照申请人需年满17周岁，商用驾驶员执照申请人需年满18周岁，航线运输驾驶员执照申请人需年满21周岁。
309,在低于目视飞行规则规定的最低标准的气象条件下担任机长，必须具有 {{c1::A}},仪表等级||飞机类别等级||飞机级别等级,1,飞机私用驾驶员执照持有人，在仪表飞行规则（IFR）条件下或在低于目视飞行规则（VFR）规定的最低标准的气象条件下担任机长必须具有仪表等级。
310,在中国境内运行的外国登记的航空器上担任飞行机组必需成员的驾驶员，是否必须持有相关驾驶员执照？ {{c1::A}},是||不是||不确定,1,在中国境内运行的外国登记的航空器上担任飞行机组必需成员的驾驶员，必须持有按本规则颁发或认可的有效驾驶员执照，或持有由航空器登记国颁发或认可的有效驾驶员执照，并且在行使相应权利时随身携带该执照。
311,驾驶民用航空器时，飞机上除登记标志、国籍标志、适航证以及执照外，还应有 {{c1::B}},飞行记录本||体检合格证||飞行技术档案,2,CCAR-61部第61.9条 执照、合格证和等级的要求(b) 体检合格证： (1) 持有按本规则颁发或认可的执照担任航空器飞行机组必需成员的驾驶员，应当持有按中国民用航空规章《民用航空人员体检合格证管理规则》（CCAR-67FS）颁发或认可的有效体检合格证，并且在行使驾驶员执照上的权利时随身携带该合格证。
312,依据CCAR61部要求，担任飞行机组必需成员的驾驶员，除持有相应执照外，还应当携带 {{c1::B}},飞行记录本||有效的体检合格证||飞行技术档案,2,CCAR-61部第61.9条 执照、合格证和等级的要求(b) 体检合格证： (1) 持有按本规则颁发或认可的执照担任航空器飞行机组必需成员的驾驶员，应当持有按中国民用航空规章《民用航空人员体检合格证管理规则》（CCAR-67FS）颁发或认可的有效体检合格证，并且在行使驾驶员执照上的权利时随身携带该合格证。
313,私用驾驶员执照持有人可以在 IFR 下飞行吗？ {{c1::C}},不可以，需有商照||可以||具备仪表等级后可以,3,"CCAR-61第61.9条 执照、合格证和等级的要求：
(e) 仪表等级：在仪表飞行规则（IFR）条件下或在低于目视飞行规则（VFR）规定的最低标准的气象条件下担任航空器的机长，应当符合下列要求之一：
(1) 持有私用或商用驾驶员执照，并具有适合于所飞航空器的类别、级别、型别（如适用）和仪表等级；"
314,在局方检查时要求出示证件时，机组成员是否可以不出示相关证件？ {{c1::B}},可以||不可以||由机长决定,2,持有本规则所要求的航空人员执照、体检合格证、许可或者其他有关证件的人员，在局方检查时，应当出示相关证件。
315,依据CCAR61 部，私用驾驶员执照、商用驾驶员执照和航线运输驾驶员执照上签注下列相应的类别等级 {{c1::A}},飞机；直升机；飞艇；倾转旋翼机||单发陆地；多发陆地；单发水上；多发水上||直升机；自转旋翼机；飞艇；自由气球,1,"CCAR-61部第61.13条 按本规则颁发的执照和等级
(b) 对完成本规则所要求的相应训练并符合所申请等级要求的申请人，在其私用驾驶员执照、商用驾驶员执照和航线运输驾驶员执照上签注下列相应的等级： (1) 航空器类别等级： (i) 飞机； (ii) 直升机； (iii) 飞艇； (iv) 倾转旋翼机。"
316,下列哪些属于按CCAR-61部颁发的执照？①私用驾驶员执照、商用驾驶员执照、航线运输驾驶员执照 ②学生驾驶员执照 ③多人制机组驾驶员执照、运动驾驶员执照 {{c1::C}},①②||②③||①②③,3,"CCAR-61部第61.13条 按本规则颁发的执照和等级：
(a)对完成本规则所要求的相应训练并符合所申请执照要求 的申请人颁发下列相应的执照: (１)学生驾驶员执照; (２)运动驾驶员执照; (３)私用驾驶员执照; (４)商用驾驶员执照; (５)多人制机组驾驶员执照; (６)航线运输驾驶员执照."
317,对于完成CCAR-61部所要求的相应训练并符合所申请等级要求的私用驾驶员执照申请人，在其驾驶员执照上应签注下列哪些相应的等级 {{c1::B}},A、B、C、D||类别、级别、型别、仪表||小型、中型、大型、重型,2,详见CCAR-61部第61.13条 按本规则颁发的执照和等级。
318,下列陈述中哪一种是指航空器的“类别等级” {{c1::B}},运输、普通、通用和特殊||飞机、 直升机、飞艇、倾转旋翼机||单发陆地、多发陆地、单发海上、多发海上,2,"根据CCAR61部第61.13条规定：对完成本规则所要求的相应训练并符合所申请等级要求的申请人，在其私用驾驶员执照、商用驾驶员执照和航线运输驾驶员执照上签注下列相应的等级：
(1) 航空器类别等级：
(i) 飞机；(ii) 直升机；(iii) 飞艇；(iv) 倾转旋翼机"
319,下列陈述中哪一种是指飞机的“级别等级” {{c1::C}},运输、普通、通用和特殊||飞机、旋翼机、滑翔机和轻于空气的航空器||单发陆地、多发陆地、单发水上、多发水上,3,"CCAR-61部第61.13条 按本规则颁发的执照和等级：
(b) 对完成本规则所要求的相应训练并符合所申请等级要求的申请人，在其私用驾驶员执照、商用驾驶员执照和航线运输驾驶员执照上签注下列相应的等级：
(2) 航空器级别等级： (i) 飞机级别等级： (A) 单发陆地； (B) 多发陆地； (C) 单发水上； (D) 多发水上。"
320,飞行员执照持有人在驾驶下列哪种航空器时，必须签注相应的型别等级 {{c1::A}},最大起飞全重低于5700千克的涡轮喷气动力的飞机||最大起飞全重低于5700千克的自转旋翼机||最大起飞全重低于5700千克的涡桨动力的飞机,1,"CCAR- 61部第61.27条规定，担任下列航空器的机长应当持有适合该航空器的型别等级：
(1) 审定为最大起飞全重在 5,700 千克以上的飞机；
(2) 审定为最大起飞全重在 3,180 千克以上的直升机和倾转旋翼机；
(3) 涡轮喷气动力的飞机；
(4) 局方通过型号合格审定程序确定需要型别等级的其他航空器。"
321,"在下列哪些航空器上担任机长必须持有适合该航空器的型别等级。
1. 审定的最大起飞全重为5700千克以上的航空器，轻于空气航空器除外；
2. 涡轮喷气动力飞机；
3. 直升机
4. 局方通过型号合格审定程序确定需要型别等级的其他航空器。 {{c1::A}}","1,2和4||1,2和3||1,2,3和4",1,"CCAR-61第61.13条规定，航空器型别等级 
(i) 审定为最大起飞全重在5,700千克以上的飞机； 
(ii) 审定为最大起飞全重在3,180千克以上的直升机和倾转旋翼机； 
(iii) 涡轮喷气动力的飞机； 
(iv) 局方通过型号合格审定程序确定需要型别等级的其他航空器。"
322,私用航空器驾驶员执照上的仪表等级签注有哪些？ {{c1::A}},仪表飞机、仪表直升机、仪表飞艇、仪表倾转旋翼机||仪表飞机、仪表直升机、仪表飞艇、仪表滑翔机||仪表飞机、仪表直升机、仪表滑翔机、仪表倾转旋翼机,1,仪表等级签注：1．仪表－飞机；2．仪表－直升机；3．仪表－飞艇；4．仪表－倾转旋翼机。
323,持有私用驾驶员临时执照可以行使私用驾驶员的权利吗？ {{c1::A}},在临时执照有效期内可以||仅可以行使部分权利||不可以,1,"局方可以为下列申请人颁发有效期不超过120天的驾驶员临时执照，临时执照在有效期内具有和正式执照同等的权利和责任：
1．已经审定合格的执照申请人，在等待颁发执照期间；
2．在执照上更改姓名的申请人，在等待更改执照期间；
3．因执照遗失或损坏而申请补发执照的申请人，在等待补发执照期间。"
324,以下关于临时执照说法正确的是 {{c1::B}},临时执照可以无限期使用||120天有效期内可以使用||159天有效期内可以使用,2,"CCAR-61第61.19条规定，a)局方可以为下列申请人颁发有效期不超过120 天的驾驶员临时执照，临时执照在有效期内具有和正式执照同等的权利和责任：
(1) 已经审定合格的执照申请人，在等待颁发执照期间；
(2) 在执照上更改姓名的申请人，在等待更改执照期间；
(3) 因执照遗失或损坏而申请补发执照的申请人，在等待补发执照期间。
(b) 在出现下列情况之一时，按本条(a)颁发的临时执照失效：
(1) 临时执照上签注的日期期满；
(2) 收到所申请的执照；
(3) 收到撤销临时执照的通知。"
325,关于临时执照的说法正确的是 {{c1::C}},有效期是180天||无有效期限制||正式执照颁发后，临时执照失效,3,CCAR-61部第61.19条 临时执照 (b) 在出现下列情况之一时，按本条(a)颁发的临时执照失效： (1) 临时执照上签注的日期期满； (2) 收到所申请的执照； (3) 收到撤销临时执照的通知。
326,"依据CCAR61部，局方可以为以下哪些申请人颁发有效期不超过 120 天的驾驶员临时执照
①已经审定合格的执照申请人，在等待颁发执照期间
②在执照上更改姓名的申请人，在等待更改执照期间
③因执照遗失或损坏而申请补发执照的申请人，在等待补发执照期间 {{c1::C}}",①||①②||①②③,3,"CCAR-61部第61.19条 临时执照：
(a) 局方可以为下列申请人颁发有效期不超过120天的驾驶员临时执照，临时执照在有效期内具有和正式执照同等的权利和责任：(1) 已经审定合格的执照申请人，在等待颁发执照期间；(2) 在执照上更改姓名的申请人，在等待更改执照期间；(3) 因执照遗失或损坏而申请补发执照的申请人，在等待补发执照期间。"
327,在执照丢失期间，飞行员应当 {{c1::A}},申请临时执照，其有效期为120天||在重新补发正式执照之前不能飞行||重新参加考试获取执照,1,"依据CCAR61部第61.19条规定，局方可以为下列申请人颁发有效期不超过 120 天的驾驶员临时执照，临时执照在有效期内具有和正式执照同等的权利和责任：
(1) 已经审定合格的执照申请人，在等待颁发执照期间；
(2) 在执照上更改姓名的申请人，在等待更改执照期间；
(3) 因执照遗失或损坏而申请补发执照的申请人，在等待补发执照期间。"
328,学生驾驶员执照的有效期是多久？ {{c1::C}},6年||12个月||24个月,3,"学生驾驶员执照在颁发月份之后第24个日历月结束时有效期满。除学生驾驶员执照外,按CCAR61部颁发的其他驾驶员执照有效期限为六年。"
329,私用、商用、航线运输驾驶员执照的有效期为 {{c1::C}},2年||10年||6年,3,"CCAR-61 第 61.21 条 (b) 学生驾驶员执照在颁发月份之后第24个日历月结束时有效期满。
(c) 除学生驾驶员执照外,按本规则颁发的其他驾驶员执照有效期限为六年。"
330,学生驾驶员执照在3月10日生效的，有效期可以到 {{c1::B}},第四年的3月31日||第三年的3月31日||永久有效,2,CCAR-61部第61.21条：执照的有效期（b）：学生驾驶员执照在颁发月份之后第24个日历月结束时有效期满。
331,体检合格证申请人在体检时贿赂医师，有什么处罚？ {{c1::B}},警告||三年之内不得申请体检合格证||行政记过,2,依据CCAR67部第67.49条规定，体检合格证申请人以欺骗、贿赂等不正当手段取得的体检合格证或者认可证书的，申请人在三年内不得再次提出申请。
332,未满40周岁的驾驶员，其II级体检合格证有效期为 {{c1::C}},12个月||24个月||60个月,3,"依据最新CCAR67第67.33条规定，Ⅱ级体检合格证有效期为60个月。其中年龄满40周岁以上者为24个月。
注：目前新旧规章都有在考，如果选项中出现60个月，说明题目是按最新CCAR67考查的。如果选项中未出现60个月，说明题目按照旧的规章考查的。"
333,驾驶员在年满40周岁以后取得Ⅱ级体检合格证，其体检合格证的有效期是 {{c1::B}},12个月||24个月||60个月,2,"依据最新CCAR67第67.33条规定，Ⅱ级体检合格证有效期为60个月。其中年龄满40周岁以上者为24个月。
注：目前新旧规章都有在考，如果选项中出现60个月，说明题目是按最新CCAR67考查的。如果选项中未出现60个月，说明题目按照旧的规章考查的。"
334,年龄36周岁的私照飞行员，二级体检合格证有效期是多久？ {{c1::B}},12个月||60个月||24个月,2,依据CCAR67-R4第67.33条规定，Ⅱ级体检合格证有效期为60个月。其中年龄满40周岁以上者为24个月。
335,驾驶员在飞行模拟机上进行训练时 {{c1::C}},必须持有I级体检合格证||必须持有II级体检合格证||不需要持有体检合格证,3,下列情形下，驾驶员可以不持有体检合格证： 1．行使地面教员执照所赋予的权利； 2．作为飞行教员、考试员或者检查员在飞行模拟机或者飞行训练器上进行的为取得执照、等级或许可的训练、考试或者检查； 3．在飞行模拟机或者飞行训练器上接受为取得执照、等级或者许可的训练、考试或检查。
336,行使下列权利时，驾驶员必须持有局方颁发的II级或者I级体检合格证 {{c1::A}},飞机私用驾驶员执照||飞机商用驾驶员执照||飞机航线驾驶员执照,1,根据CCAR-61部的规定，私用驾驶员执照必须持有局方颁发的II级或者I级体检合格证，而商照和航线驾驶员必须持有局方颁发的I级体检合格证。
337,私用驾驶员执照持有人在年满40周岁以后取得II级体检合格证，其体检合格证的有效期是 {{c1::B}},半年||2年||3年,2,Ⅱ级体检合格证有效期为 60 个月，其中年龄满 40 周岁以上者为 24 个月。
338,学生驾驶员忘带体检合格证能否上飞机 {{c1::C}},可以，需经过教员同意||可以，需经过局方批准||不可以,3,"CCAR-61部第61.25条 体检合格证的要求：
(3) 行使下列权利时，驾驶员应当持有局方颁发的Ⅱ级或者I级体检合格证： 
(i) 私用驾驶员执照所赋予的权利； 
(ii) 学生驾驶员执照所赋予的权利； 
(iii)飞艇驾驶员执照所赋予的权利。"
339,哪些情况可以不持有体检合格证？ {{c1::B}},行使私用驾驶员执照所赋予的权利||飞行教员在飞行模拟机或训练器上进行训练时||检查员在航空器上进行检查时,2,"下列情形下，驾驶员可以不持有体检合格证：
1．行使地面教员执照所赋予的权利；
2．作为飞行教员、考试员或者检查员在飞行模拟机或者飞行训练器上进行的为取得执照、等级或许可的训练、考试或者检查；
3．在飞行模拟机或者飞行训练器上接受为取得执照、等级或者许可的训练、考试或检查。"
340,在飞行模拟机上接受为取得执照、等级或者许可的训练、考试或检查时，驾驶员是否需要持有体检合格证？ {{c1::B}},需要||不需要||视情况而定,2,"CCAR-61第 61. 25 条体检合格证的要求和有效期
（b）下列情形下，驾驶员可以不持有体检合格证： 
(1) 行使地面教员执照所赋予的权利； 
(2) 作为飞行教员、考试员或者检查员在飞行模拟机或者飞行训练器上进行的为取得执
照、等级或许可的训练、考试或者检查； 
(3) 在飞行模拟机或者飞行训练器上接受为取得执照、等级或者许可的训练、考试或检
查。"
341,行使下列哪项权利时，驾驶员必须持有体检合格证？ {{c1::C}},在飞行模拟机上接受飞行训练||作为飞行教员在飞行训练器上对飞行学生进行熟练检查||学生驾驶员实施单飞训练,3,"依据CCAR67部规定，下列情形下，驾驶员可以不持有体检合格证： 
(1) 行使地面教员执照所赋予的权利； 
(2) 作为飞行教员、考试员或者检查员在飞行模拟机或者飞行训练器上进行的为取得执照、等级或许可的训练、考试或者检查； 
(3) 在飞行模拟机或者飞行训练器上接受为取得执照、等级或者许可的训练、考试或检查。"
342,机长体检不符合现行体检合格证标准时，是否可以继续担任机长？ {{c1::B}},不影响飞行安全就行||不可以||经运营人同意后可以,2,驾驶员已知身体有缺陷或者已知身体缺陷加重，不符合现行体检合格证标准时，不得担任机长或者飞行机组的其他必需成员。
343,在哪些情况下担任下列航空器的机长必须持有适合该航空器的型别等级？ {{c1::B}},审定为最大起飞全重在5700千克以上的直升机||审定为最大起飞全重在3180千克以上的直升机||审定为最大起飞全重在3180千克以上的飞机,2,"担任下列航空器的机长必须持有适合该航空器的型别等级：
1．审定为最大起飞全重在5,700千克以上的飞机；
2．审定为最大起飞全重在3,180千克以上的直升机和倾转旋翼机；
3．涡轮喷气动力的飞机；
4．局方通过型号合格审定程序确定需要型别等级的其他航空器。"
344,（ ）的驾驶员可以行使附带陆地等级的同种类初级飞机执照所赋予的权利 {{c1::B}},持有飞机类别单发陆地或单发水上级别等级||持有飞机类别单发陆地或多发陆地级别等级||持有飞机类别单发水上或多发陆地级别等级,2,"CCAR-61部第 61. 27 条 航空器等级限制和附加训练要求：
(c)类别、级别和型别等级的要求
(3)持有飞机类别单发陆地或多发陆地级别等级的驾驶员可以行使附带陆地等级的同种类初级飞机执照所赋予的权利；持有飞机类别单发水上或多发水上级别等级的驾驶员可以行使附带水上等级的同种类初级飞机执照所赋予的权利。"
345,在实用升限或最大使用高度（以低者为准）高于平均海平面（  ）的增压飞机上担任机长的驾驶员，必须完成CCAR61规定的地面和飞行训练。 {{c1::C}},4000米||6700米||7600米,3,"CCAR-61部第61.27条 航空器等级限制和附加训练要求：(d) 驾驶高空运行的增压飞机所要求的附加训练： (1) 在实用升限或最大使用高度（以低者为准）高于平均海平面（MSL）7,600米（25,000英尺）的增压飞机上担任机组成员的驾驶员，应当完成本款规定的地面和飞行训练，并且由授权教员在其飞行经历记录本或训练记录上签字，证明其已经完成了附加训练。"
346,"驾驶后三点飞机的附加训练必须包括
①正常起飞与着陆 ②侧风起飞与着陆 ③三点式着陆和复飞程序 {{c1::C}}",①||①③||①②③,3,"CCAR-61部CCAR61. 27条航空器等级限制和附加训练要求：
(e) 驾驶后三点飞机所要求的附加训练： 在后三点飞机上担任机长的驾驶员，应当已经接受了后三点飞机的飞行训练。驾驶后三点飞机的附加训练应当包括正常起飞与着陆、侧风起飞与着陆、三点式着陆和复飞程序，厂家不推荐三点式着陆的可以不包括三点式着陆训练。"
347,私用驾驶员执照持有人需要取得英语签注吗？ {{c1::C}},需要||不需要||使用英语通信需要,3,"按照本规则取得驾驶员执照的人员通过了局方组织或认可的英语语言能力3级或3级以上测试的，在执照上签注相应的等级。
1．在2008年3月4日以前颁发的执照上已取得英语无线电陆空通信签注的，等同于英语语言能力3级。
2．除经局方批准外，按照本规则取得的飞机、直升机、飞艇和倾转旋翼机驾驶员执照持有人在使用英语通信前，其执照上应当具有英语语言能力4级或4级以上的等级签注。对于执照上签注的英语语言能力低于6级的，还应当定期通过英语语言能力等级测试。
执照上签注了语言能力4级以上的人员，具有相应语言的无线电通信资格。"
348,从事通航飞行的飞行员在内蒙古自治区飞行时，需要什么语言等级？ {{c1::B}},通过英语ICAO4等级测试||通过汉语言能力测试||通过英语ICAO3等级测试,2,依据CCAR-61部第61.29条规定，按照本规则取得驾驶员执照的人员通过了局方组织或认可的汉语语言能力 4 级或 4 级以上测试的，在执照上签注相应的等级，方可在使用汉语进行通信的飞行中进行无线电陆空通信。2014 年 12 月 31 日之前已获得执照的中国籍驾驶员，等同于获得汉语语言能力 6 级。内蒙古自治区的通信是汉语通信，不需要英语等级。
349,有一个说云南话口音很重的飞行员，是否可以进行无线电通信？ {{c1::B}},任何情况都不能||能，但需通过汉语语言4 级或4 级以上测试||能，云南话也算普通话,2,按照CCAR—61部取得驾驶员执照的人员通过了局方组织或认可的汉语语言能力4级或4级以上测试的，在执照上签注相应的等级，方可在使用汉语进行通信的飞行中进行无线电陆空通信。2015年12月31日之前已获得执照的中国籍驾驶员，等同于获得汉语语言能力6级。
350,飞入内蒙古自治区需不需要具有英文等级？ {{c1::C}},需要ICAO三级以上||需要ICAO四级以上||不需要,3,依据CCAR-61部第61.29条规定，按照本规则取得驾驶员执照的人员通过了局方组织或认可的汉语语言能力 4 级或 4 级以上测试的，在执照上签注相应的等级，方可在使用汉语进行通信的飞行中进行无线电陆空通信。2015 年 12 月 31 日之前已获得执照的中国籍驾驶员，等同于获得汉语语言能力 6 级。内蒙古自治区的通信是汉语通信，不需要英语等级。
351,为满足CCAR61部的训练、考试或者检查要求而使用的飞行模拟机和飞行训练器必须： {{c1::A}},经局方鉴定并批准用于训练考试||经考试员鉴定，由局方批准用于训练考试||经局方鉴定后可以用于任何训练和考试,1,"CCAR-61第61.11条飞行模拟机和飞行训练器的鉴定和批准：
(a)为满足本规则的训练、考试或者检查要求而使用的飞行模拟机和飞行训练器必须经局方鉴定合格，并经局方批准用于： 
(1) 拟进行的训练、考试和检查；
(2) 每个特定的动作、程序或者机组职能； 
(3) 对于飞行训练器，模拟特定类别和级别的航空器、特定型别航空器、某一型别特定衍生型航空器或一组航空器。"
352,理论考试申请人在考试时是否可以使用未经局方批准的材料或者其它辅助物品？ {{c1::B}},可以||不可以||仅可以使用自带的尺子及计算器,2,"在理论考试和语言能力考试过程中，申请人不得有下列行为：
1．以任何形式复制或保存考试试题；
2．交给其他申请人或从其他申请人那里得到考试试题的任一部分或其复印件或扫描件；
3．帮助他人或者接受他人的帮助；
4．代替他人或由他人代替参加部分或者全部考试；
5．使用未经局方批准的材料或者其他辅助物品；
6．破坏考场设施；
7．故意引起、助长或者参与本条禁止的行为。"
353,因身体原因不能参加理论考试，是否可以找人替考？ {{c1::A}},不可以||可以，需出示医院的体检报告单||可以，经过教员同意即可,1,"CCAR-61部第61.37 条 理论考试和语言能力考试中禁止的行为：
在理论考试和语言能力考试过程中，申请人不得有下列行为：(a) 以任何形式复制或保存考试试题；(b) 交给其他申请人或从其他申请人那里得到考试试题的任一部分或其复印件或扫描件；(c) 帮助他人或者接受他人的帮助；(d) 代替他人或由他人代替参加部分或者全部考试；(e) 使用未经局方批准的材料或者其他辅助物品；(f) 破坏考场设施；(g) 故意引起、助长或者参与本条禁止的行为。"
354,在参加局方执照理论考试中，是否可以使用手机中的计算器功能？ {{c1::C}},可以，只要监考人员允许||可以，只要手机设置在飞行模式下||不可以，应使用机考电脑桌面上提供的计算器,3,依据CCAR-61第61.37条 手机不允许带入考试现场。在理论考试和语言能力考试过程中，申请人不得有下列行为： (a) 以任何形式复制或保存考试试题； (b) 交给其他申请人或从其他申请人那里得到考试试题的任一部分或其复印件或扫描件； (c) 帮助他人或者接受他人的帮助； (d) 代替他人或由他人代替参加部分或者全部考试； (e) 使用未经局方批准的材料或者其他辅助物品； (f) 破坏考场设施； (g) 故意引起、助长或者参与本条禁止的行为。
355,实践考试必须一天内完成吗？ {{c1::C}},是，必须一天内完成||不是，中断考试后30天内完成剩余考试即可||不是，但是继续考试必须出示中断考试证明,3,"如果实践考试中断，在符合下列规定时，局方可以承认申请人已经完成并合格的操作：
1．申请人在中断实践考试后60天内通过剩下的实践考试；
2．申请人在继续考试时必须出示中断考试证明；
3．申请人圆满完成了任何可能需要的附加训练，并获得了相应教员的签字证明。"
356,执照申请人参加实践考试，必须在接受实践考试前（  ）个日历月内已通过了必需的理论考试，并出示局方给予的理论考试成绩单。 {{c1::C}},12||18||24,3,"CCAR-61部第61.39条 实践考试的准考条件：
(a) 申请人参加按本规则颁发执照或者等级所要求的实践考试，应当符合下列规定：(1) 在接受实践考试前24个日历月内已通过了必需的理论考试，并出示局方给予的理论考试成绩单；"
357,执照申请人参加实践考试，授权教员应在其飞行经历记录本上签字，证明该授权教员在申请日期之前的（  ）天内，已对申请人进行了准备实践考试的飞行教学，并且认为该申请人有能力通过考试； {{c1::A}},60||90||120,1,"CCAR-61部第61.39条 实践考试的准考条件
(a) 申请人参加按本规则颁发执照或者等级所要求的实践考试，应当符合下列规定：(5) 具有授权教员在其飞行经历记录本上的签字，证明该授权教员在申请日期之前的60天内，已对申请人进行了准备实践考试的飞行教学，并且认为该申请人有能力通过考试；"
358,在执照或等级的实践考试时，如果一天内未完成全部科目，所有剩余的考试科目都必须在多少天内完成？否则，必须全部重新考试，包括已完成的科目。 {{c1::C}},一周内||一个月内||60个日历日内,3,CCAR-61部第61.39条 实践考试的准考条件：(c) 申请人没有在一天内完成申请执照或等级实践考试的全部科目，所有剩余的考试科目应当在申请人开始考试之日起的60个日历日内完成，没有在该60个日历日内完成的，申请人应当重新参加全部实践考试，包括重新完成已经完成的科目。
359,私照飞行中为实践考试作准备的飞行训练，需在考试日期前（  ）天内完成。 {{c1::B}},30||60||90,2,"根据CCAR61部 第61.39  条 实践考试的准考条件规定：
具有授权教员在其飞行经历记录本上的签字，证明该授权教员在申请日
期之前的 60 天内，已对申请人进行了准备实践考试的飞行教学，并且认为该申
请人有能力通过考试"
360,执照理论考试成绩单有效期为 {{c1::C}},12个月||36个月||24个月,3,CCAR-61部第61.39条 实践考试的准考条件： (a) 申请人参加按本规则颁发执照或者等级所要求的实践考试，应当符合下列规定：(1) 在接受实践考试前24个日历月内已通过了必需的理论考试，并出示局方给予的理论考试成绩单。
361,私用驾驶员执照申请人参加实践考试前，理论要求是 {{c1::C}},没有要求||可以等实践考试后再进行理论考试，只要有通过证明就可以||必须在实践考试前24个日历月内通过理论考试,3,"依据CCAR61部第61.39条规定，(a) 申请人参加按本规则颁发执照或者等级所要求的实践考试，应当符合下列规定：
(1) 在接受实践考试前24个日历月内已通过了必需的理论考试，并出示局方给予的理论考试成绩单；
(2) 已经完成了必需的训练并获得了本规则规定的相应飞行经历；
(3) 持有局方颁发的有效体检合格证；
(4) 符合颁发所申请执照或等级的年龄限制；
(5) 具有授权教员在其飞行经历记录本上的签字，证明该授权教员在申请日期之前的60天内，已对申请人进行了准备实践考试的飞行教学，并且认为该申请人有能力通过考试；
(6) 持有填写完整并有本人签字的申请表。"
362,一名学生去年3月10日取得II级体检合格证，今年3月20日其能否参加实践考试？ {{c1::B}},不可以||可以，II级体检合格证在有效期内||可以，不需要考虑体检合格证有效期,2,"CCAR-61 第 61.39 条规定，申请人参加按本规则颁发执照或者等级所要求的实践考试，应当符合下列规定：
(1) 在接受实践考试前24个日历月内已通过了必需的理论考试，并出示局方给予的理论考试成绩单；
(2) 已经完成了必需的训练并获得了本规则规定的相应飞行经历；
(3) 持有局方颁发的有效体检合格证；
(4) 符合颁发所申请执照或等级的年龄限制；
(5) 具有授权教员在其飞行经历记录本上的签字，证明该授权教员在申请日期之前的60天内，已对申请人进行了准备实践考试的飞行教学，并且认为该申请人有能力通过考试；
(6) 持有填写完整并有本人签字的申请表。"
363,在实践考试中，考试员是否可以担任机长操纵飞机？ {{c1::A}},可以，当遇到天气条件或者其他条件极差，飞行学员不能安全驾驶飞机时，考试员可以操纵飞机，但是考试中断||可以，学员可以申请向考试员寻求帮助||不可以，考试员不能帮助飞行学员,1,CCAR61部第61.43条规定，由于恶劣的天气条件、航空器适航性或其他影响飞行安全的情况发生时，考试员或者申请人可以随时中断考试。61.47条规定，考试员在实践考试期间不是该航空器的机长，但是如果需要，经预先安排并经考试员本人同意，方可担任该次飞行的机长。
364,有关实践考试，下列说法正确的是 {{c1::B}},实践考试可以中断，但申请人应该在中断实践考试后30天内通过剩下的实践考试||由于恶劣的天气条件、航空器适航性或其他影响飞行安全的情况发生时，考试员或者申请人可以随时中断考试||实践考试必须一次完成,2,"CCAR-61第61.43条规定，(c) 由于恶劣的天气条件、航空器适航性或其他影响飞行安全的情况发生时，考试员或者申请人可以随时中断考试。如果实践考试中断，在符合下列规定时，局方可以承认申请人已经完成并合格的操作： 
(1) 申请人在中断实践考试后60天内通过剩下的实践考试； 
(2) 申请人在继续考试时应当出示中断考试证明。 
(d) 申请人在一个或者多个操作上不合格，则该实践考试应判定为不合格。"
365,学生驾驶员在进行私照实践考试过程中，考试员是否可以进行帮助？ {{c1::C}},当然可以，考试员就是帮助学生通过考试的||可以，在不影响考试结论的情况下，可以给予帮助||当出现危险天气或突发情况时，考试员可以接替学生驾驶员操作飞机以确保安全，考试中断,3,"依据CCAR61部第61.47条规定，(a) 考试员代表局方对申请人实施按本规则颁发执照和等级的实践考试，考试员的职责是观察申请人是否具备完成实践考试要求的各项操作的能力。
(b) 考试员在实践考试期间不是该航空器的机长，但是如果需要，经预先安排并经考试员本人同意，方可担任该次飞行的机长。
(c) 无论在实践考试期间使用何种型别的航空器，申请人和考试员及考试员批准的其他乘员都不受中国民用航空规章关于载运旅客条件的限制。"
366,未通过理论考试的申请人，申请补考日期与上一次同科目考试日期间隔最少为（  ）个日历日 {{c1::A}},28||30||60,1,AC-61-FS-2013-09R3：5.5、对于申请补考的申请人，要求申请人出示上一次考试成绩单，在该成绩单下方上有授权教员签注，表明授权教员对该申请人上次理论考试未通过的航空知识内容进行了必要的补充训练，认为其有能力通过理论考试。补考日期与上一次同科目考试日期间隔最少为28个日历日。
367,下列可以记作单飞时间的是 {{c1::A}},学生驾驶员作为飞机上唯一乘员的时间||私照驾驶员作为飞机上唯一乘员的时间||驾驶员作为飞机上唯一乘员的时间,1,单飞时间是指 ①学生驾驶员作为航空器上唯一乘员时的飞行时间才可以记作单飞时间。②学生驾驶员在需要一名以上飞行机组成员的航空器上行使机长职权的飞行时间也可以记作单飞时间。
368,学生驾驶员作为航空器唯一乘员的飞行时间可以记作 {{c1::A}},单飞时间||仪表飞行经历时间||飞行训练时间,1,单飞时间，是指学生驾驶员作为航空器唯一乘员的飞行时间。
